frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7345386147499084,1270.297119140625,1031.863037109375,1786.3756103515625,2019.4910888671875,0,0,0,0,0,1,1,1,1,1,0,1,0.08413021266460419,0.07697755843400955,0.09620737284421921,0.043202098459005356,0.07915132492780685,0.03673040121793747,0.058604929596185684,0.07146460562944412,0.13472618162631989,0.07556380331516266,0.024974225088953972,0.1047162115573883
1,41.666666666666664,,,,insightface_bbox,0.7345386147499084,1270.297119140625,1031.863037109375,1786.3756103515625,2019.4910888671875,0,0,0,0,0,1,1,1,1,1,0,1,0.07722899317741394,0.07074879854917526,0.09344072639942169,0.04357712343335152,0.07908609509468079,0.035646677017211914,0.06288851797580719,0.0734790489077568,0.14166167378425598,0.08068972080945969,0.023983769118785858,0.09830168634653091
2,83.33333333333333,,,,insightface_bbox,0.7345386147499084,1270.297119140625,1031.863037109375,1786.3756103515625,2019.4910888671875,0,0,0,0,0,1,1,1,1,1,0,1,0.08174698054790497,0.0738043412566185,0.10365698486566544,0.046265192329883575,0.08688382059335709,0.037682704627513885,0.06398099660873413,0.08231593668460846,0.1586807668209076,0.08737225085496902,0.0261424221098423,0.10047777742147446
3,125.0,,,,insightface_bbox,0.7345386147499084,1270.297119140625,1031.863037109375,1786.3756103515625,2019.4910888671875,0,0,0,0,0,1,0,1,1,1,0,1,0.08361775428056717,0.07408219575881958,0.10626637935638428,0.04558362439274788,0.09142982959747314,0.03944842517375946,0.05741598457098007,0.09440235048532486,0.17644332349300385,0.09164197742938995,0.02698284015059471,0.09962505847215652
4,166.66666666666666,,,,insightface_bbox,0.7345386147499084,1270.297119140625,1031.863037109375,1786.3756103515625,2019.4910888671875,0,0,0,0,0,1,1,0,1,1,0,1,0.10773558914661407,0.09475845843553543,0.15113192796707153,0.055817313492298126,0.127488374710083,0.05154062435030937,0.06005536764860153,0.10857916623353958,0.20796962082386017,0.09582516551017761,0.035813555121421814,0.11031164228916168
5,208.33333333333334,,,,insightface_bbox,0.7345386147499084,1270.297119140625,1031.863037109375,1786.3756103515625,2019.4910888671875,0,0,0,0,0,1,1,0,1,1,1,1,0.11089690774679184,0.09968206286430359,0.15606386959552765,0.06022777035832405,0.1529821902513504,0.056615643203258514,0.073895163834095,0.11471879482269287,0.2284519523382187,0.10222475230693817,0.03637257218360901,0.11577358841896057
6,250.0,,,,insightface_bbox,0.7828439474105835,1257.770751953125,1034.7568359375,1817.9146728515625,2030.5806884765625,0,0,0,1,1,1,1,1,1,1,1,1,0.10573077946901321,0.11173597723245621,0.1514148861169815,0.07102573662996292,0.17770224809646606,0.057462386786937714,0.21328522264957428,0.11060826480388641,0.2598809003829956,0.11281593143939972,0.03010125458240509,0.12669610977172852
7,291.6666666666667,,,,insightface_bbox,0.7828439474105835,1257.770751953125,1034.7568359375,1817.9146728515625,2030.5806884765625,0,0,0,1,1,1,1,1,1,1,1,1,0.10772968828678131,0.11507625877857208,0.15877442061901093,0.07070136070251465,0.18034404516220093,0.057674750685691833,0.20486681163311005,0.11376456916332245,0.2488129585981369,0.10810889303684235,0.031010545790195465,0.12685030698776245
8,333.3333333333333,,,,insightface_bbox,0.7828439474105835,1257.770751953125,1034.7568359375,1817.9146728515625,2030.5806884765625,0,0,0,1,1,1,1,1,1,1,0,1,0.12015022337436676,0.12869465351104736,0.16835586726665497,0.07398280501365662,0.19889089465141296,0.06203464791178703,0.1876223385334015,0.12075693905353546,0.23701457679271698,0.11460702121257782,0.0399438850581646,0.1350332796573639
9,375.0,,,,insightface_bbox,0.7828439474105835,1257.770751953125,1034.7568359375,1817.9146728515625,2030.5806884765625,0,0,0,1,1,1,1,1,1,1,0,1,0.1302153766155243,0.14559590816497803,0.1932142972946167,0.08582576364278793,0.24129295349121094,0.06960177421569824,0.22126011550426483,0.11856105923652649,0.25128883123397827,0.11600609868764877,0.04336430877447128,0.1459691822528839
10,416.6666666666667,,,,insightface_bbox,0.7828439474105835,1257.770751953125,1034.7568359375,1817.9146728515625,2030.5806884765625,0,0,0,1,0,1,1,1,1,1,0,1,0.12725026905536652,0.14249278604984283,0.18509861826896667,0.08429262787103653,0.24154281616210938,0.0690080001950264,0.2234344333410263,0.11253395676612854,0.2230704426765442,0.11415720731019974,0.049726299941539764,0.15172897279262543
11,458.3333333333333,,,,insightface_bbox,0.7828439474105835,1257.770751953125,1034.7568359375,1817.9146728515625,2030.5806884765625,0,0,0,1,1,1,1,1,1,1,1,1,0.13342121243476868,0.14762887358665466,0.19992054998874664,0.09262117743492126,0.3184322118759155,0.07622811198234558,0.24221539497375488,0.123013935983181,0.25662875175476074,0.1170736625790596,0.05406913906335831,0.14537778496742249
12,500.0,,,,insightface_bbox,0.8100152015686035,1202.6461181640625,1019.7460327148438,1795.6387939453125,2027.9403076171875,0,0,0,1,1,1,1,1,1,1,0,0,0.11518688499927521,0.11782541126012802,0.1725941002368927,0.09035355597734451,0.35903456807136536,0.07874558866024017,0.31122928857803345,0.11058320105075836,0.2000742256641388,0.11487725377082825,0.07359422743320465,0.13950245082378387
13,541.6666666666666,,,,insightface_bbox,0.8100152015686035,1202.6461181640625,1019.7460327148438,1795.6387939453125,2027.9403076171875,0,0,0,1,1,1,1,1,1,1,0,0,0.11108427494764328,0.11476559937000275,0.16765719652175903,0.0859261006116867,0.324266254901886,0.07861408591270447,0.2888706624507904,0.10362415015697479,0.18981917202472687,0.10793890058994293,0.07414250075817108,0.13913223147392273
14,583.3333333333334,,,,insightface_bbox,0.8100152015686035,1202.6461181640625,1019.7460327148438,1795.6387939453125,2027.9403076171875,0,0,0,1,1,1,1,1,1,1,0,1,0.10849661380052567,0.11396904289722443,0.1643385887145996,0.0888810008764267,0.377714604139328,0.08040671050548553,0.3240664005279541,0.10818500071763992,0.19941164553165436,0.10816793888807297,0.08682455867528915,0.1398053914308548
15,625.0,,,,insightface_bbox,0.8100152015686035,1202.6461181640625,1019.7460327148438,1795.6387939453125,2027.9403076171875,0,0,0,1,1,1,1,1,1,1,0,1,0.10544729232788086,0.11618726700544357,0.15719348192214966,0.08892368525266647,0.33147865533828735,0.0786692276597023,0.3047422170639038,0.10728015005588531,0.19766926765441895,0.10975819081068039,0.08853030204772949,0.1430612951517105
16,666.6666666666666,,,,insightface_bbox,0.8100152015686035,1202.6461181640625,1019.7460327148438,1795.6387939453125,2027.9403076171875,0,0,0,1,1,1,1,1,1,1,0,1,0.10148561000823975,0.11615870893001556,0.16358289122581482,0.09117387235164642,0.38738805055618286,0.08476027101278305,0.2773131728172302,0.11762920022010803,0.216573566198349,0.11095098406076431,0.09906724840402603,0.1351672112941742
