person,performance,camera_id,clip_index,source_path,clip_path,start_frame,end_frame_exclusive,clip_len,source_fps,output_fps,source_frame_count,width,height,padded_frames,selection_score,score_source,selection_reason
wangxing,BeiShang2,124071016307,1,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0001.mp4,121,210,89,24.0,24.0,416,576,1024,0,0.10463102906942368,audio_rms,active_segment_143_205
wangxing,BeiShang2,124071016307,2,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0002.mp4,131,220,89,24.0,24.0,416,576,1024,0,0.10453563928604126,audio_rms,active_segment_143_205
wangxing,BeiShang2,124071016307,3,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0003.mp4,138,227,89,24.0,24.0,416,576,1024,0,0.1043463796377182,audio_rms,active_segment_143_205_tail
wangxing,BeiShang2,124071016307,4,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0004.mp4,275,364,89,24.0,24.0,416,576,1024,0,0.12281960248947144,audio_rms,active_segment_297_401
wangxing,BeiShang2,124071016307,5,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0005.mp4,285,374,89,24.0,24.0,416,576,1024,0,0.1403256356716156,audio_rms,active_segment_297_401
wangxing,BeiShang2,124071016307,6,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0006.mp4,295,384,89,24.0,24.0,416,576,1024,0,0.1583419293165207,audio_rms,active_segment_297_401
wangxing,BeiShang2,124071016307,7,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0007.mp4,305,394,89,24.0,24.0,416,576,1024,0,0.1650460660457611,audio_rms,active_segment_297_401
wangxing,BeiShang2,124071016307,8,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0008.mp4,315,404,89,24.0,24.0,416,576,1024,0,0.1553351879119873,audio_rms,active_segment_297_401
wangxing,BeiShang2,124071016307,9,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0009.mp4,325,414,89,24.0,24.0,416,576,1024,0,0.13941752910614014,audio_rms,active_segment_297_401
wangxing,BeiShang2,124071016307,10,data/video/canon/BeiShang2/124071016307.mp4,data/video/BeiShang2/124071016307_clip0010.mp4,327,416,89,24.0,24.0,416,576,1024,0,0.13598328828811646,audio_rms,active_segment_297_401_tail
wangxing,FACS0,124071016307,1,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0001.mp4,392,481,89,24.0,24.0,692,576,1024,0,0.06694688647985458,audio_rms,active_segment_414_519
wangxing,FACS0,124071016307,2,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0002.mp4,402,491,89,24.0,24.0,692,576,1024,0,0.0795428529381752,audio_rms,active_segment_414_519
wangxing,FACS0,124071016307,3,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0003.mp4,412,501,89,24.0,24.0,692,576,1024,0,0.09251565486192703,audio_rms,active_segment_414_519
wangxing,FACS0,124071016307,4,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0004.mp4,422,511,89,24.0,24.0,692,576,1024,0,0.09333767741918564,audio_rms,active_segment_414_519
wangxing,FACS0,124071016307,5,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0005.mp4,432,521,89,24.0,24.0,692,576,1024,0,0.08560047298669815,audio_rms,active_segment_414_519
wangxing,FACS0,124071016307,6,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0006.mp4,442,531,89,24.0,24.0,692,576,1024,0,0.07879368215799332,audio_rms,active_segment_414_519
wangxing,FACS0,124071016307,7,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0007.mp4,452,541,89,24.0,24.0,692,576,1024,0,0.08131144195795059,audio_rms,active_segment_414_519
wangxing,FACS0,124071016307,8,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0008.mp4,565,654,89,24.0,24.0,692,576,1024,0,0.04214933142066002,audio_rms,active_segment_590_628
wangxing,FACS0,124071016307,9,data/video/canon/FACS0/124071016307.mp4,data/video/FACS0/124071016307_clip0009.mp4,603,692,89,24.0,24.0,692,576,1024,0,0.04731840640306473,audio_rms,active_segment_663_692
wangxing,FACS1,124071016307,1,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0001.mp4,0,89,89,24.0,24.0,861,576,1024,0,0.03796299546957016,audio_rms,active_segment_8_44
wangxing,FACS1,124071016307,2,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0002.mp4,144,233,89,24.0,24.0,861,576,1024,0,0.03385898470878601,audio_rms,active_segment_166_257
wangxing,FACS1,124071016307,3,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0003.mp4,154,243,89,24.0,24.0,861,576,1024,0,0.03428581729531288,audio_rms,active_segment_166_257
wangxing,FACS1,124071016307,4,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0004.mp4,164,253,89,24.0,24.0,861,576,1024,0,0.03476129099726677,audio_rms,active_segment_166_257
wangxing,FACS1,124071016307,5,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0005.mp4,174,263,89,24.0,24.0,861,576,1024,0,0.03453030064702034,audio_rms,active_segment_166_257
wangxing,FACS1,124071016307,6,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0006.mp4,184,273,89,24.0,24.0,861,576,1024,0,0.03361200913786888,audio_rms,active_segment_166_257
wangxing,FACS1,124071016307,7,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0007.mp4,190,279,89,24.0,24.0,861,576,1024,0,0.033285632729530334,audio_rms,active_segment_166_257_tail
wangxing,FACS1,124071016307,8,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0008.mp4,557,646,89,24.0,24.0,861,576,1024,0,0.03530438244342804,audio_rms,active_segment_583_620
wangxing,FACS1,124071016307,9,data/video/canon/FACS1/124071016307.mp4,data/video/FACS1/124071016307_clip0009.mp4,652,741,89,24.0,24.0,861,576,1024,0,0.033329226076602936,audio_rms,active_segment_681_711
wangxing,FACS2,124071016307,1,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0001.mp4,147,236,89,24.0,24.0,805,576,1024,0,0.03220523148775101,audio_rms,active_segment_169_269
wangxing,FACS2,124071016307,2,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0002.mp4,157,246,89,24.0,24.0,805,576,1024,0,0.03245440125465393,audio_rms,active_segment_169_269
wangxing,FACS2,124071016307,3,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0003.mp4,167,256,89,24.0,24.0,805,576,1024,0,0.03290665149688721,audio_rms,active_segment_169_269
wangxing,FACS2,124071016307,4,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0004.mp4,177,266,89,24.0,24.0,805,576,1024,0,0.03270203247666359,audio_rms,active_segment_169_269
wangxing,FACS2,124071016307,5,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0005.mp4,187,276,89,24.0,24.0,805,576,1024,0,0.0321342796087265,audio_rms,active_segment_169_269
wangxing,FACS2,124071016307,6,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0006.mp4,197,286,89,24.0,24.0,805,576,1024,0,0.03199199214577675,audio_rms,active_segment_169_269
wangxing,FACS2,124071016307,7,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0007.mp4,202,291,89,24.0,24.0,805,576,1024,0,0.031805943697690964,audio_rms,active_segment_169_269_tail
wangxing,FACS2,124071016307,8,data/video/canon/FACS2/124071016307.mp4,data/video/FACS2/124071016307_clip0008.mp4,407,496,89,24.0,24.0,805,576,1024,0,0.031304359436035156,audio_rms,active_segment_433_469
wangxing,FaYin1,124071016307,1,data/video/canon/FaYin1/124071016307.mp4,data/video/FaYin1/124071016307_clip0001.mp4,156,245,89,24.0,24.0,463,576,1024,0,0.07921569049358368,audio_rms,active_segment_182_218
